タイムスタンプ,In which previous funds have you voted?,Other than voting have you actively participated in Cardano Project Catalyst?,"Other than English and Japaneses, which languages you do speak or believe are important to the Catalyst Community?",Please give us an indication of your age group.,The role of the dRep was recently announced. Do you see value in being able to assign your vote to a proxy?,In relation to the dRep position please briefly provide your thoughts and opinion about this new role. ,Did you vote in Fund 7,"In relation to your Fund 7 vote, how many proposals did you vote positive for?",What attracted you to certain proposals that you voted up?,How many proposals did you vote negative for?,What attracted you to certain proposals that you voted down?,Is there anything in a proposal that will lead to an automatic down vote?,How much time did you spend on each proposal when considering it for your vote?,How much time did you spend on each proposal when considering it for your vote?,Do you have an Ideascale account?,"In relation to Fund 6 voting, did you read the proposals you voted on in Ideascale.",How important is getting rewarded for voting to you?,"In your opinion, the amount of voting reward is...",How much weight do you give to Community Advisor scores?,Please add any comments about the CA score and process below:,How much voting power do you control? (If you wish to answer and stay anonymous you can choose not to provide an email address.),How many wallets do you vote with?,Do you vote on behalf of others?,What are your thoughts about 1 ADA equals 1 Vote and the risk of forming a plutocracy inside Cardano?,"If there was a way to get ""expert ballots"" and ""voter advice"" that provide direction on your own voting choices, would you use them?",How many minutes in total did you spend voting in Fund 6? (please use numbers only eg 2 hours = 120),In relation to voting would you prefer to spend more lore less time?,How would you rate your general experience with voting in Catalyst Fund 6?,"If you have participated in any previous funds, did you perceive any improvement in the general process?",Give a brief run down of your voting process.,"以前のFundよりも改善されたと思う点を教えてください。(Did your voting method change from previous funds? If yes, please explain)",さらに改善して欲しい点を教えてください。(Is there anything about the voting process you had difficulties with or you think could do with improvement?),あなたは、どのように投票先を見つけましたか？ (What are the main way(s) you found out about the proposals you voted up.),あなたは日本専用カテゴリーの提案に投票を行いましたか？ (Did you vote in the F7: Connecting Japan/日本 Community Challenge?),そのうち、いくつの提案に投票しましたか？(How many Proposal did you vote for in the Japanese ),以下の中で、あなたが最も必要としているCatalystの改善点はどれですか？(In relation to Project Catalyst please indicate if you think the follow are of current and major importance.),今回実施した、この投票者参加調査アンケート(報酬付き)は重要だと思いますか？(How would you rate the importance of this or surveys like this?),今回のアンケート調査の質問内容について、どのように評価しますか？(How would you rate our execution of this survey?),"このアンケート調査について、あなたの意見をお聞かせください。(Do you have any comments, feedback or suggestions about this survey?)",このアンケート調査はどのように知りましたか？(How did you find out about the survey?),仮に、回答協力の報酬が無かった場合、あなたがこの調査に協力してくれた可能性はどのくらいありますか？(How likely are you to participate in a voter survey if it was not incentivized?)
2022/03/10 21:08:52,Fund 7,"いいえ、投票だけです (No, I only vote.)",None,35 - 44,No,I think that delegating to the agent will have a large influence agent.,Yes,1 - 5,Focused on things related to Japan,0,I did not throw an opposite vote.,Yes,5分未満 (less than 5 min),3,No,一度もない (Never),4,2,ほとんどの投票で参考にしている (I rely a lot on them and also do some of my own research),I want to know more information about CA,50k - 100k,1,No,I am afraid of being affected by whales.,Yes,120,2,4,,*,*,*,From the IDEASCALE site (IDEASCALE),Yes,2,"投票アプリの日本語対応 (Voting App localized (into Japanes)), 投票アプリの仕様改善 (Voting App UX improvements), 既存のウォレット内で投票を完結させる機能 (Voting to be possible in wallet)",4,4,,,1
2022/03/11 8:25:47,"Fund 7, Fund 3","いいえ、投票だけです (No, I only vote.)",特になし,35 - 44,Yes,"It should be adopted by all means.
Even if you are strong in the catalist, many people don't know what to choose, at least one of them. The reason is that there is a lot of information. On the other hand, those who think that this person will be the best for cardano is easy to float. You can judge it from the activities in the community.
Therefore, I would like you to adopt the voting delegation system.

However, it is thankful to the delegate for those who have a large voting delegation and what the basis of the voting is, so it is a format that is easy for the actual voter to fulfill such a accountability. I would like to hire the provision as well.",Yes,6 - 20,Look at one of Yuta's commentary page.,0,With the opinions of people with high remarks and the intention of supporting proposals from Japan.,Yes,30分未満 (less than 30 mins),2,No,一度もない (Never),4,2,いつも評価に従って投票している (I rely entirly on them),"I don't know how reliable it is, but if this evaluation is necessary, do you need to vote? I also think.",100k - 500k,1,No,"I think it is an advanced advantage, but if the most reliable Omoto is a whale, there is no problem.",Yes,50,1,2,2,"Know the implementation with reference to the questions and answers of other people in the community, and move it into execution.","Question and answer in the community. The proposal is a miscellaneous impression on the feeling of use of the app, and there is still room for improvement.",I would like you to guide you on how to participate and link to a large special site for reminded reminds from Daedalus.,I was told by other voters (from Other Voters),Yes,5,"投票アプリの日本語対応 (Voting App localized (into Japanes)), 自分の投票権を他人に委任できる制度 (I want to be able to delegate my vote to an other)",5,4,"I think catalyst polls are also effective in attracting Aida Holder. By all means, I would like to hope that the proposal will be easy to understand, and if there is such a proposal, I would like to vote for that item.

Wouldn't it be nice to have a free answer column at the end of the questionnaire survey? is not it. Even if you want to cooperate, I feel the height of the hurdles that I can't do easily.

In that sense, the questionnaire survey was very meaningful. Thank you very much.",Yuta -san Twitter,2
2022/03/11 15:01:13,"Fund 7, Fund 6, Fund 5, Fund 4","はい、コミュニティ内で発信されているCatalystの情報に積極的に目を通していました (Yes, I'm a lurker in the community)",,55 - 64,Yes,"Originally, I think it is desirable to look at and vote all the contents proposed by yourself, but it is still quite difficult to do it for hundreds of hundreds.
I often learn from people who are actively participating in the community and SPOs that are disseminating information, so make sure that you can make a proposal that is indispensable for Cardano growth for those who think you can not trust them. We believe that it is very valuable to find it and entrust it to it, and it is a reasonable measure that does not waste proposals and voting rights.",Yes,6 - 20,There are projects proposed by those who have been deeply involved in the project and trust that they are deeply involved in the project from the summary list of the community (such as forums).,0,"Of course, the volume of the description was extremely simple or not passionate, of course, but it did not actively send opposition votes. In addition, I would like to vote in the opposite votes that are really lying while describing plausible things, but it is difficult to judge the opposite because of the lack of knowledge including language understanding and technical things.",Yes,30分未満 (less than 30 mins),3,No,たまに (Rarely),3,3,それなりに参考にしている (I read through them to give me a good picture then expand my own understanding),,回答を控えます (I prefer not to say),回答を控えます (prefer not to say),No,"I think it is hard to think that holders who have a lot of holders do something disadvantageous for the project, but in the unlikely event that only the extremely biased proposals are adopted from the voting power, or the worst case. I would like to avoid rampant to be a sponsor and collaborate and obtaining a rebate. I want you to exclude the exchange wallet.",Yes,180,3,5,3,I don't understand the purpose of the question.,It has become easier to search for proposal projects.,"The content of the proposal is a monitor that is easy to see on the PC, and the voting will be a small screen of a mobile device, so I would like you to select the voting proposal with the code number.",From the IDEASCALE site (IDEASCALE),Yes,5,"投票アプリの日本語対応 (Voting App localized (into Japanes)), 投票アプリの仕様改善 (Voting App UX improvements), 既存のウォレット内で投票を完結させる機能 (Voting to be possible in wallet), 自分の投票権を他人に委任できる制度 (I want to be able to delegate my vote to an other)",5,2,"I think it is very important to enhance the part of such a voting behavior entrance, but as a motivation for the voting, how the proposals (such as voting, etc.) will progress and become a product. I think it's important to make it easier to track with interest.
I don't know how much recruitment proposal is progressing and how to pay and consume the assigned expenses.
For example, we have a virtual space used in a virtual summit, such as catalyst city or catalyst village, and divide it in a block or street for each Found, and a site section and buildings for each proposal. It describes visually constructing according to the progress, expresses the money you are spending in a picture with money, as well as a picture with money. Something like that, the completed thing can be set up a symbol flag, and you can fly to a site where you can get the necessary information directly ... I just visit while walking virtually (laughs). I think that if you make a good idea of ​​gaining such playfulness and detailed information, you will be able to update your interests and information at all times, and you will be able to grasp the active excitement.
Surely, if the proposer is always exposed to voters and holders, I wonder if it will be able to maintain moderate pressure and responsibility ...
I don't even know the technical things, so I don't know the difficulty or the effect, but I'm glad if such a catalist proposal comes out.
Well, if you can do it on the project side, the story will be fast, but it's an amateur idea anyway.
However, I think that the mechanism of the catalist is essential to grow and activate in the future, so I am really looking forward to it.
",Community telegram LINE post,5
2022/03/11 16:04:18,"Fund 7, Fund 6, Fund 5, Fund 4","いいえ、投票だけです (No, I only vote.)",,45 - 54,Yes,,Yes,1 - 5,Refer to the Japanese community,0,Without opposition,Yes,5分未満 (less than 5 min),3,No,一度もない (Never),4,2,ほとんどの投票で参考にしている (I rely a lot on them and also do some of my own research),,100k - 500k,1,No,,たぶん (Maybe),,2,4,5,From a personal computer,Registration can be used as it is,Easy to understand the category,I was told by other voters (from Other Voters),Yes,3,投票アプリの仕様改善 (Voting App UX improvements),4,4,,Because the Japanese ambassador by LINE oven chat,2
2022/03/11 22:16:57,"Fund 7, Fund 5","いいえ、投票だけです (No, I only vote.)",アフリカの言語,55 - 64,No,Voting rights should be exercised by yourself.,Yes,1 - 5,"I chose a Japanese proposer
",0,"Confirmed the proposal in order from the top screen
",NO,1分未満 (less than 1 min),1,No,一度もない (Never),5,3,いつも評価に従って投票している (I rely entirly on them),I can't read English because I can't read English,100k - 500k,1,No,The influence of whales increases.,Yes,0,1,3,3,"I am voting by looking at how to vote in the video.
",I do not understand.,"I want you to display it in Japanese.
",From the IDEASCALE site (IDEASCALE),No,0,"投票アプリの日本語対応 (Voting App localized (into Japanes)), 投票アプリの仕様改善 (Voting App UX improvements), 既存のウォレット内で投票を完結させる機能 (Voting to be possible in wallet)",2,4,"I want you to distribute ADA to more. I want you to reduce the number of questions.

",Through the enrolled glue plain.,1
2022/03/12 13:30:09,"Fund 7, Fund 6, Fund 5, Fund 4, Fund 3","いいえ、投票だけです (No, I only vote.)",,35 - 44,Yes,,Yes,1 - 5,I thought I wouldn't support and support the contents of the proposal,0,No opposition is included,NO,30分以上 (more than 30 mins),4,Yes,それなりに (Sometimes),3,2,それなりに参考にしている (I read through them to give me a good picture then expand my own understanding),,回答を控えます (I prefer not to say),1,No,,Yes,120,2,4,4,"Implement Kakunin Shitokara on YouTube, etc.",Because information about Catalyst has increased,It is easy to understand if the introduction in the video increases,From the IDEASCALE site (IDEASCALE),No,0,"投票アプリの日本語対応 (Voting App localized (into Japanes)), 既存のウォレット内で投票を完結させる機能 (Voting to be possible in wallet)",2,3,,,4
2022/03/12 20:22:25,Fund 7,"はい、コミュニティ内で積極的にCatalystの情報発信をしました (Yes, I'm active in the community.)",,45 - 54,No,It is difficult to find an anonymity and find a reliable agent,Yes,6 - 20,Those that are likely to contribute to the development of Cardano and are likely to be feasible,1 - 5,Low muscle proposal or feasibility,Yes,30分以上 (more than 30 mins),4,Yes,大体は (Usually),2,1,ほとんど参考にしていない (I totally disagree with their existance. I do not use them.),,回答を控えます (I prefer not to say),1,No,The specific gravity of new users is low,たぶん (Maybe),180,1,5,1,I don't understand the meaning of the question,none,IdeasCale is difficult to use. Too heavy.,"(IDEASCALE) (Directly from The Proposer), from the proposer (from other voters) (from Other Voters)",Yes,4,既存のウォレット内で投票を完結させる機能 (Voting to be possible in wallet),4,4,I want you to continue due to the development of Catalyst,facebook,2
2022/03/15 11:34:56,"Fund 7, Fund 6, Fund 5","いいえ、投票だけです (No, I only vote.)",,35 - 44,Yes,,Yes,1 - 5,I referred to my opinion.,1 - 5,Will it be good for future activities?,Yes,5分未満 (less than 5 min),4,No,それなりに (Sometimes),4,2,あまり参考にしていない (I don't pay too much attention to them. They are not very helpful.),,"10k - 25k (10,000~25,000枚)",1,Yes,,No,,2,4,3,image,Not particularly,"Easy to understand, simple",From the IDEASCALE site (IDEASCALE),Yes,6,投票アプリの日本語対応 (Voting App localized (into Japanes)),4,4,,LINE notification,2
2022/03/15 11:43:51,"Fund 6, Fund 5, Fund 4, Fund 3","いいえ、投票だけです (No, I only vote.)",,25 - 34,Yes,"After all, can the client get a reward by substitute? If so, maybe you'll be on behalf of those who have a reliable knowledge.",No,0,NO,0,NO,NO,30分未満 (less than 30 mins),3,No,たまに (Rarely),5,1,いつも評価に従って投票している (I rely entirly on them),,25k - 50k,1,No,"The risk of exchanges, such as taking advantage of Binance's stakeholders. I think there are whales because I don't have any knowledge from the point of pre -sale, so there seems to be some risk.",Yes,30,3,4,3,Not participated in 7,Not participated,Not participated,I was told by other voters (from Other Voters),No,0,,5,4,,We hope that we can contribute to the activities of Cardano in the future.,2
2022/03/15 12:00:52,"Fund 7, Fund 6, Fund 5, Fund 4, Fund 3, Fund 2, Fund 1","はい、コミュニティ内で発信されているCatalystの情報に積極的に目を通していました (Yes, I'm a lurker in the community)",,回答を控えます (I'd rather not say),No,,Yes,6 - 20,For Japan and future expectations,0,nothing special,,5分未満 (less than 5 min),3,No,たまに (Rarely),5,1,ほとんどの投票で参考にしている (I rely a lot on them and also do some of my own research),,25k - 50k,1,No,,No,1,1,2,2,Search by mobile in order,It became easier to connect,"Furthermore, the content is easy to understand",,,5,,,,,,2
2022/03/15 12:07:05,"Fund 7, Fund 6, Fund 5","いいえ、投票だけです (No, I only vote.)",,35 - 44,Yes,,Yes,21 - 100,In order from the top.,6 - 20,In the order of the score too low,,1分未満 (less than 1 min),1,Yes,たまに (Rarely),2,2,いつも評価に従って投票している (I rely entirly on them),,回答を控えます (I prefer not to say),1,No,,たぶん (Maybe),,1,3,2,Normally.,No at all,The passcode is difficult to hit,,,,,2,3,,,1
2022/03/15 13:02:11,"Fund 7, Fund 6","いいえ、投票だけです (No, I only vote.)",,65 - 74,Yes,,Yes,1 - 5,LINE community,0,LINE community,Yes,30分未満 (less than 30 mins),3,No,一度もない (Never),2,3,ほとんどの投票で参考にしている (I rely a lot on them and also do some of my own research),It is summarized and easy to understand,"10k - 25k (10,000~25,000枚)",1,No,,たぶん (Maybe),360,1,3,4,Yoroi,The screen transfer is slightly reduced,I want you to write everything in Japanese,I was told by other voters (from Other Voters),Yes,5,投票アプリの日本語対応 (Voting App localized (into Japanes)),2,3,I hope the results will be reflected in the future system. Especially Japanese,Telegram CARDANO Official Site,3
2022/03/15 13:19:51,"Fund 7, Fund 6, Fund 5, Fund 4, Fund 3, Fund 2, Fund 1","いいえ、投票だけです (No, I only vote.)",ありません,35 - 44,No,Same as Japanese elections. My opinion is not reflected,Yes,6 - 20,We voted for what Cardano prices are likely to rise.,0,Because it is the opposite of those who do not agree and the votes,Yes,5分未満 (less than 5 min),2,No,一度もない (Never),5,1,いつも評価に従って投票している (I rely entirly on them),,回答を控えます (I prefer not to say),1,No,I don't think it's a problem.,Yes,30,1,4,1,The amount of information is small,I don't understand,Improvement of rewards to voters. Progress and penalty of projects passed by Catalyst,I knew directly from the proposer from the proposer,Yes,7,"投票アプリの日本語対応 (Voting App localized (into Japanes)), 投票アプリの仕様改善 (Voting App UX improvements), 既存のウォレット内で投票を完結させる機能 (Voting to be possible in wallet)",3,5,,On LINE,1
2022/03/15 13:22:11,"Fund 7, Fund 6, Fund 5, Fund 4, Fund 3, Fund 2, Fund 1","いいえ、投票だけです (No, I only vote.)",中国語,35 - 44,Yes,Delegating to a trusted person will make your voting right more effective.,Yes,1 - 5,Evaluated value,0,not,I didn't know the existence of the category in the first place (I Was Not Awear The Was A JAPAN FOCUSED CHALLENGE),5分未満 (less than 5 min),2,No,一度もない (Never),3,3,いつも評価に従って投票している (I rely entirly on them),,回答を控えます (I prefer not to say),回答を控えます (prefer not to say),No,There is a risk that the voting right of the Japanese pre -group will be emphasized,Yes,15,2,3,2,Make a decision by looking at the evaluation,nothing special,I want you to display it in Japanese,From the proposal PR Meet Up (Ideafest by Swarm),そもそもカテゴリーの存在を知らなかった (I was not awear there was a Japan focused challenge),0,"投票アプリの日本語対応 (Voting App localized (into Japanes)), 投票アプリの仕様改善 (Voting App UX improvements), 自分の投票権を他人に委任できる制度 (I want to be able to delegate my vote to an other)",5,5,,Open chat,3
2022/03/15 13:28:25,"Fund 5, Fund 4, Fund 3","いいえ、投票だけです (No, I only vote.)",,45 - 54,No,I think it's difficult to be trusted because it tends to depend on subjectivity. It is another matter whether you can always agree with the person's voting content even if you can trust it.,No,0,Fund7 does not participate,0,Fund7 does not participate,Yes,5分未満 (less than 5 min),4,No,一度もない (Never),2,1,ほとんどの投票で参考にしている (I rely a lot on them and also do some of my own research),I think it's a convincing method because people are well studied.,50k - 100k,1,Yes,Never. The emphasis should be emphasized whether the negative image of ICO cannot be dispelled even afterwards. Cardano of the present and the future is a place where the image of fairness must never be blurred.,Yes,,1,4,,Via smartphone app,I don't understand,"The number of projects is too large and I can't respond when I'm busy with work, but I want you to narrow down the voting destination.",I was told by other voters (from Other Voters),Yes,7,既存のウォレット内で投票を完結させる機能 (Voting to be possible in wallet),5,5,"Since questions about FUND that do not participate are required, please add options that you do not participate. I can't answer accurately.",Cardano community LINE open chat,1
2022/03/15 13:41:10,"Fund 7, Fund 6, Fund 5, Fund 4","はい、提案者としても参加しました (Yes, I'm a proposer.)",日本なら2か国語対応で足りていると思う,45 - 54,Yes,"A mechanism to prevent oligopoly is required, such as setting a deadline for continuing the delegation.",Yes,6 - 20,Feasibility,1 - 5,Things that are unlikely to be realized,Yes,5分未満 (less than 5 min),2,Yes,大体は (Usually),3,2,それなりに参考にしている (I read through them to give me a good picture then expand my own understanding),I think it's reasonable.,100k - 500k,1,No,I think it's reasonable,たぶん (Maybe),150,2,4,4,Prioritize Japanese projects and charity projects,Increased Japanese reference information,none,(Directly from The Proposer) I knew directly from the IdeasCale site (IdeasCale),Yes,5,"投票アプリの日本語対応 (Voting App localized (into Japanes)), 既存のウォレット内で投票を完結させる機能 (Voting to be possible in wallet), 自分の投票権を他人に委任できる制度 (I want to be able to delegate my vote to an other)",4,3,There is something that is difficult to understand the meaning of the question,SNS,2
2022/03/15 13:43:28,Fund 7,"いいえ、投票だけです (No, I only vote.)",ないと思います,45 - 54,Yes,"If there is an agent system, the number of votes will increase, and the project activities will be active.",Yes,1 - 5,"I heard a recommendation from a friend who is familiar with FUND, and judge by reading the introduction of the project by myself",0,I did not vote in particular. I thought the proposal of the project was valuable.,Yes,5分未満 (less than 5 min),2,No,一度もない (Never),5,2,それなりに参考にしている (I read through them to give me a good picture then expand my own understanding),I want to know what the community advertiser has evaluated.,回答を控えます (I prefer not to say),1,No,Projects in a self -righteous direction may be adopted by the qualities of powerful people,Yes,0,3,3,,I intend to vote for what will develop the whole cardano.,I don't know because Fund7 is the first vote.,I felt that there were no problems or concerns.,I was told by other voters (from Other Voters),Yes,1,投票アプリの日本語対応 (Voting App localized (into Japanes)),5,4,I feel that it is effective to develop the cardano more.,At the Cardano ADA community group LINE.,2
2022/03/15 14:55:13,"Fund 7, Fund 6, Fund 5, Fund 4, Fund 3","はい、コミュニティ内で発信されているCatalystの情報に積極的に目を通していました (Yes, I'm a lurker in the community)",Nothing in particular,55 - 64,Yes,"Basically, I think that the right to vote for personal tax payment is fine, but for individuals who do not have time, I think that the voter turnout will increase by delegating to a reliable agent.",Yes,more than 100,We Peer-Reviewed The PropoSal and Voted in Light of Budget Requirements.,more than 100,We Peer-Reviewed The PropoSal and Voted in Light of Budget Requirements.,Yes,30分未満 (less than 30 mins),3,Yes,毎回 (Always),5,3,それなりに参考にしている (I read through them to give me a good picture then expand my own understanding),I Think You Can See The right options.,100k - 500k,1,No,"If it's Not Too DecentRalized, I Think It Could Be a Risk.",たぶん (Maybe),480,2,5,3,Peer Review The Proposal and Vote in Light of the Required Budget.,I don't feel it in particular.,"SINCE THE NUMBER OF PROPOSALS is Increasing and it Thame Time to Review, I Think That A System for Sense Extent Is Necessary.",From the IDEASCALE site (IDEASCALE),Yes,10,"投票アプリの日本語対応 (Voting App localized (into Japanes)), 既存のウォレット内で投票を完結させる機能 (Voting to be possible in wallet)",3,4,I Think It's VERY GOOD FOR IMPROVING THE CATALYST Vote.,Contact from Cardano Ambassador.,5
2022/03/15 15:24:21,"Fund 7, Fund 6","いいえ、投票だけです (No, I only vote.)",特にありません。,45 - 54,No,,Yes,6 - 20,"To support the people who are active.
But if I don't need that activity, I won't vote.",0,I decided on what I wanted to actively work.,Yes,30分以上 (more than 30 mins),4,No,一度もない (Never),5,3,ほとんどの投票で参考にしている (I rely a lot on them and also do some of my own research),I think for the summary of the outline.,回答を控えます (I prefer not to say),1,No,"Because it means monopoly, I want you to eliminate that idea.",Yes,360,3,5,3,The priority is to automatically translate the activities and understand the activities even a little.,I didn't feel much improvement.,I want a portal site that can follow the progress of the activists.,(Directly from The Proposer) I knew directly from the IdeasCale site (IdeasCale),Yes,6,投票アプリの仕様改善 (Voting App UX improvements),5,5,I want you to continue a continuous questionnaire in the future.,I participated through the SNS community site.,5
2022/03/15 16:59:44,"Fund 7, Fund 6, Fund 5, Fund 4","いいえ、投票だけです (No, I only vote.)",ない,45 - 54,No,"From a variance perspective, a system that delegates to the agent may lead to the acquisition of voting rights.",Yes,1 - 5,Voting only in Japan,0,Recommendation of Comminity,Yes,5分未満 (less than 5 min),3,No,一度もない (Never),5,1,いつも評価に従って投票している (I rely entirly on them),,25k - 50k,1,No,,Yes,30,3,3,1,One vote to answer,not,I want you to be able to vote in the list,I was told by other voters (from Other Voters),Yes,8,投票アプリの仕様改善 (Voting App UX improvements),5,5,Improvements for catalysts voting are urgent issues.,,5
2022/03/15 17:01:54,"Fund 7, Fund 6, Fund 5, Fund 4, Fund 3","いいえ、投票だけです (No, I only vote.)",,35 - 44,Yes,,Yes,6 - 20,Somehow,0,Somehow,I didn't know the existence of the category in the first place (I Was Not Awear The Was A JAPAN FOCUSED CHALLENGE),5分未満 (less than 5 min),3,No,たまに (Rarely),3,2,ほとんどの投票で参考にしている (I rely a lot on them and also do some of my own research),,> 500k,1,No,,Yes,,2,3,3,atmosphere,It became easy to see because it was familiar,Easier,,そもそもカテゴリーの存在を知らなかった (I was not awear there was a Japan focused challenge),5,投票アプリの日本語対応 (Voting App localized (into Japanes)),5,5,,Line group,3
2022/03/15 17:15:35,"Fund 7, Fund 6","いいえ、投票だけです (No, I only vote.)",,45 - 54,,,Yes,6 - 20,reliability,0,Avoid things you don't understand,,30分未満 (less than 30 mins),3,Yes,,4,2,あまり参考にしていない (I don't pay too much attention to them. They are not very helpful.),,50k - 100k,1,No,,たぶん (Maybe),,2,4,,Ease of understanding,Unknown,language,,,,投票アプリの日本語対応 (Voting App localized (into Japanes)),5,3,,,
2022/03/15 17:31:40,"Fund 7, Fund 6, Fund 5, Fund 4, Fund 3","はい、コミュニティ内で発信されているCatalystの情報に積極的に目を通していました (Yes, I'm a lurker in the community)",Nothing in particular.,55 - 64,Yes,"Basically, I Think that Individual Tax Payment Voting Voting Voting IS Fine, But if you do not have time, you can vote Even if you delegate it to a religiable age.",Yes,more than 100,"The Content of The ProPosal Was Peer-Reviewed, and the Vote Was DecideD Based on Whether the Required Budget for the Proposal Was Met.",more than 100,"The Content of The ProPosal Was Peer-Reviewed, and the Vote Was DecideD Based on Whether the Required Budget for the Proposal Was Met.",Yes,30分未満 (less than 30 mins),4,Yes,毎回 (Always),5,3,それなりに参考にしている (I read through them to give me a good picture then expand my own understanding),I Think It's Almost A Legitimate Evaluation.,100k - 500k,1,No,I Think THERE Is A Possibility of Risk IF DECENTRALILIZATION Is Not Programsing.,たぶん (Maybe),480,2,5,3,We Peer-Reviewed The PropoSal and DecideDed to Vote in Light of Budget Requirements.,I don't Feel that Much.,"SINCE THE NUMBER OF PROPOSALS is Increasing and it Thame Time to Review, I Think That A System for Sense Extent Is Necessary.",From the IDEASCALE site (IDEASCALE),Yes,10,"投票アプリの日本語対応 (Voting App localized (into Japanes)), 投票アプリの仕様改善 (Voting App UX improvements)",5,4,I Think It's VERY GOOD FOR IMPROVING THE CATALYST Vote.,Contact from Cardano Ambassador.,5
2022/03/15 18:34:55,"Fund 7, Fund 6, Fund 3, Fund 2","いいえ、投票だけです (No, I only vote.)",,35 - 44,No,"If you delegate, I think it is better not to participate. I think one person has more voting rights.",Yes,1 - 5,reliability,0,none,,5分未満 (less than 5 min),2,Yes,たまに (Rarely),4,2,あまり参考にしていない (I don't pay too much attention to them. They are not very helpful.),,回答を控えます (I prefer not to say),1,No,I think that having one person has many votes will lead to the bias of ideas.,たぶん (Maybe),30,2,3,3,How to vote? Smartphone. Android. Yoroi.,I don't feel much change.,I want you to be able to vote directly from Wallet. Do not go through the app.,,,,既存のウォレット内で投票を完結させる機能 (Voting to be possible in wallet),3,3,Feedback is important. But I don't know if rewards are needed.,Telegram: Japan Official,3
2022/03/15 20:01:12,"Fund 7, Fund 6, Fund 5, Fund 4, Fund 3, Fund 2, Fund 1","はい、コミュニティ内で発信されているCatalystの情報に積極的に目を通していました (Yes, I'm a lurker in the community)",,45 - 54,No,Because the fairness and independence of governance may be impaired,Yes,more than 100,See Summary of Society for Community,0,None,Yes,5分未満 (less than 5 min),2,Yes,毎回 (Always),5,2,それなりに参考にしている (I read through them to give me a good picture then expand my own understanding),nothing especially,100k - 500k,1,Yes,I feel that it is easier for new entrants with a small number of pieces to enter depending on the number of pieces held but slightly weaker.,No,240,3,5,3,Catalist app,The reflection time of the voting has been shortened,I want the voting reflected time to be shorter and tag for each category,From the IDEASCALE site (IDEASCALE),Yes,7,"投票アプリの日本語対応 (Voting App localized (into Japanes)), 既存のウォレット内で投票を完結させる機能 (Voting to be possible in wallet)",5,4,"Daedalos's notice said that the deadline was, but here it was a 23 -day period, so I want you to unify it.",Japan SPO Twitter,5
2022/03/15 22:06:08,"Fund 7, Fund 6, Fund 5, Fund 4, Fund 3","はい、コミュニティ内で発信されているCatalystの情報に積極的に目を通していました (Yes, I'm a lurker in the community)",,55 - 64,Yes,,Yes,21 - 100,Look at the transmission of the Japanese community,0,None,Yes,30分未満 (less than 30 mins),3,Yes,たまに (Rarely),2,3,それなりに参考にしている (I read through them to give me a good picture then expand my own understanding),,> 500k,1,No,,Yes,,2,3,5,While looking at the list that the community created,"Being able to search, etc.",I hope it will be a multilingual,While looking at the materials that the Japanese community summarized,Yes,10,"投票アプリの日本語対応 (Voting App localized (into Japanes)), 自分の投票権を他人に委任できる制度 (I want to be able to delegate my vote to an other)",3,3,,In Yuta's open chat,5
2022/03/16 18:21:32,"Fund 7, Fund 6, Fund 5, Fund 4, Fund 3, Fund 2","はい、コミュニティ内で発信されているCatalystの情報に積極的に目を通していました (Yes, I'm a lurker in the community)",,65 - 74,Yes,This role is necessary,Yes,21 - 100,YUTA and ISSA's advice,0,I don't know the opposite vote so I haven't put it in,Yes,5分未満 (less than 5 min),3,Yes,たまに (Rarely),4,2,あまり参考にしていない (I don't pay too much attention to them. They are not very helpful.),,> 500k,3つ以上 (3 or more),Yes,Don't worry,Yes,300,1,5,4,According to the advisor's instructions,You can log out,So that you can vote in the same category,I knew directly from the proposer from the proposer,Yes,10,投票アプリの日本語対応 (Voting App localized (into Japanes)),4,4,,Community,5
2022/03/16 20:55:55,"Fund 7, Fund 6, Fund 5, Fund 4, Fund 3","いいえ、投票だけです (No, I only vote.)",,55 - 64,Yes,,Yes,21 - 100,I referred to the opinion of the advisor,1 - 5,See the commentary list of community advertisers,Yes,30分以上 (more than 30 mins),1,Yes,たまに (Rarely),2,2,ほとんどの投票で参考にしている (I rely a lot on them and also do some of my own research),,50k - 100k,1,No,,Yes,2,2,3,4,Refer to the explanation of the advisor,Usability of Catalyst app,Simplification of voting,"From IDEASCALE site (IDEASCALE), Community Advisor Commentary List",Yes,10,"投票アプリの日本語対応 (Voting App localized (into Japanes)), 自分の投票権を他人に委任できる制度 (I want to be able to delegate my vote to an other)",4,4,,OC,3
2022/03/17 17:37:47,"Fund 7, Fund 6, Fund 5","いいえ、投票だけです (No, I only vote.)",,25 - 34,Yes,I think it is okay to delegate to experts such as YUTA.,Yes,1 - 5,Refer to the opinions of experts,1 - 5,Refer to the opinions of experts,I didn't know the existence of the category in the first place (I Was Not Awear The Was A JAPAN FOCUSED CHALLENGE),30分以上 (more than 30 mins),3,No,たまに (Rarely),4,1,ほとんどの投票で参考にしている (I rely a lot on them and also do some of my own research),,"10k - 25k (10,000~25,000枚)",1,No,,Yes,,1,3,3,Refer to the opinions of experts,nothing special,nothing special,I was told by other voters (from Other Voters),そもそもカテゴリーの存在を知らなかった (I was not awear there was a Japan focused challenge),0,"投票アプリの日本語対応 (Voting App localized (into Japanes)), 投票アプリの仕様改善 (Voting App UX improvements)",5,4,,Community post,4
